pkg_order,num_actions,unique_actions,action_diversity,action_sequence_str,shop_id,shop_type_name_x,shop_status_name_x,shop__seniority_x,shop__categories_x,address__ward_name_x,address__district_name_x,address__province_name_x,shop_type_name_y,seniority_group,shop_status_name_y,shop__seniority_y,shop__categories_y,address__ward_name_y,address__district_name_y,address__province_name_y
1165265516,2,2,1.0,updateDeliverWorkshiftByCod → distributorCfmDeliver,638ebe99-2e70-4ad9-9a16-42900a6e4d78,Pro (B2C),Đang làm việc,31,,Xã Đông Quý,Huyện Tiền Hải,Thái Bình,Pro (B2C),Nhóm 2 - Trung bình,Đang làm việc,31,,Xã Đông Quý,Huyện Tiền Hải,Thái Bình
1167481836,2,2,1.0,takeReturningPackages → distributorCfmReturning,5c5da256-6668-4414-9cea-12930a0a0269,Standard (C2C),Đang làm việc,77,"[""food_others""]",,Quận Ba Đình,Hà Nội,Standard (C2C),Nhóm 3 - Lâu năm,Đang làm việc,77,"[""food_others""]",,Quận Ba Đình,Hà Nội
1505176082,2,2,1.0,updateDeliverWorkshiftByCod → distributorCfmDeliver,6763e35b-2bd0-4a68-a70d-44690a6e4cd3,Pro (B2C),Đang làm việc,6,,Phường Xuân Phương,Quận Từ Liêm,Hà Nội,Pro (B2C),Nhóm 1 - Mới,Đang làm việc,6,,Phường Xuân Phương,Quận Từ Liêm,Hà Nội
1507664893,2,2,1.0,distributorCfmReturning → takeReturningPackages,8dd4f66b-1cad-462e-a4b0-e9f4be8fce38,Pro (B2C),Đang làm việc,2,"[""accessories"",""fashion_new""]",Phường Trung Hoà,Quận Cầu Giấy,Hà Nội,Pro (B2C),Nhóm 1 - Mới,Đang làm việc,2,"[""accessories"",""fashion_new""]",Phường Trung Hoà,Quận Cầu Giấy,Hà Nội
1194836650,2,2,1.0,cfmDonePrepaymnet → Prepayment_qrBill,5e71d27d-249c-4bc4-95d9-44eb0a0a028e,Standard (C2C),Đang làm việc,64,"[""fashion_new""]",,,TP Hồ Chí Minh,Standard (C2C),Nhóm 3 - Lâu năm,Đang làm việc,64,"[""fashion_new""]",,,TP Hồ Chí Minh
1427430171,3,2,0.6666666666666666,distributorCfmDeliver → updateDeliverWorkshiftByCod → distributorCfmDeliver,184270fd-d97b-4125-b8b1-1b7b68b2cfd7,Pro (B2C),Đang làm việc,7,,Phường Cổ Nhuế 1,Quận Từ Liêm,Hà Nội,Pro (B2C),Nhóm 1 - Mới,Đang làm việc,7,,Phường Cổ Nhuế 1,Quận Từ Liêm,Hà Nội
1428150908,4,2,0.5,verifySessionPackage → distributorCfmDeliver → distributorCfmDeliver → distributorCfmDeliver,77805c55-5c38-445c-a41e-d61c68aa1256,Pro (B2C),Đang làm việc,5,"[""houseware""]",Xã Xuân Lập,Huyện Thọ Xuân,Thanh Hóa,Pro (B2C),Nhóm 1 - Mới,Đang làm việc,5,"[""houseware""]",Xã Xuân Lập,Huyện Thọ Xuân,Thanh Hóa
1428188906,3,2,0.6666666666666666,distributorCfmDeliver → verifySessionPackage → verifySessionPackage,dda40b78-9a36-45a2-a81e-c4a7b3326c45,Pro (B2C),Đang làm việc,8,,Xã Đạo Thạnh,Thành phố Mỹ Tho,Tiền Giang,Pro (B2C),Nhóm 1 - Mới,Đang làm việc,8,,Xã Đạo Thạnh,Thành phố Mỹ Tho,Tiền Giang
1500936687,2,2,1.0,verifySessionPackage → distributorCfmDeliver,5a5f22b6-64f8-40ac-9467-671e0a0a0268,Standard (C2C),Đang làm việc,90,"[""accessories"",""fashion_new""]",,Quận Hai Bà Trưng,Hà Nội,Standard (C2C),Nhóm 3 - Lâu năm,Đang làm việc,90,"[""accessories"",""fashion_new""]",,Quận Hai Bà Trưng,Hà Nội
1501018326,2,2,1.0,NVBCTakeAPhotoDelivery → distributorCfmDeliver,63fed671-0adc-49d2-b7f7-4cc00a6e4c39,Pro (B2C),Đang làm việc,28,"[""others""]",Xã Bình Thành,Huyện Thanh Bình,Đồng Tháp,Pro (B2C),Nhóm 2 - Trung bình,Đang làm việc,28,"[""others""]",Xã Bình Thành,Huyện Thanh Bình,Đồng Tháp
1503539767,2,2,1.0,verifySessionPackage → distributorCfmDeliver,c44d30cc-e44f-48e7-a29f-676442e4986c,Pro (B2C),Đang làm việc,6,,Phường Bình Chuẩn,Thành phố Thuận An,Bình Dương,Pro (B2C),Nhóm 1 - Mới,Đang làm việc,6,,Phường Bình Chuẩn,Thành phố Thuận An,Bình Dương
1492822415,2,2,1.0,takeDeliveringPackages → distributorCfmDeliver,bbcf0e6e-5067-45dd-a181-6f22bebc0f15,Pro (B2C),Đang làm việc,27,"[""fashion_new"",""accessories""]",Phường Kim Tân,Thành phố Lào Cai,Lào Cai,Pro (B2C),Nhóm 2 - Trung bình,Đang làm việc,27,"[""fashion_new"",""accessories""]",Phường Kim Tân,Thành phố Lào Cai,Lào Cai
1492934727,3,2,0.6666666666666666,updateDeliverWorkshiftByCod → distributorCfmDeliver → distributorCfmDeliver,66a703c6-f7e0-49f3-9b70-41510a6e4d78,Pro (B2C),Đang làm việc,11,,Phường Dương Nội,Quận Hà Đông,Hà Nội,Pro (B2C),Nhóm 1 - Mới,Đang làm việc,11,,Phường Dương Nội,Quận Hà Đông,Hà Nội
1494457598,2,2,1.0,takeDeliveringPackages → distributorCfmDeliver,5c64ff5f-0b34-4904-a5ec-4ba50a0a0214,Pro (B2C),Đang làm việc,77,"[""fashion""]",Phường Hiệp Tân,Quận Tân Phú,TP Hồ Chí Minh,Pro (B2C),Nhóm 3 - Lâu năm,Đang làm việc,77,"[""fashion""]",Phường Hiệp Tân,Quận Tân Phú,TP Hồ Chí Minh
1496226881,2,2,1.0,verifySessionPackage → distributorCfmDeliver,607508e1-b5e8-4926-8912-4b820a784c19,Pro (B2C),Đang làm việc,51,,Phường Đông Thành,Thành phố Hoa Lư,Ninh Bình,Pro (B2C),Nhóm 3 - Lâu năm,Đang làm việc,51,,Phường Đông Thành,Thành phố Hoa Lư,Ninh Bình
1170954001,2,2,1.0,distributorCfmDeliver → takeDeliveringPackages,624ff99d-4bfc-4339-a33b-43390a6e4d58,Brand,Đang làm việc,39,"[""cosmetics"",""medicines"",""others""]",Phường Khương Trung,Quận Thanh Xuân,Hà Nội,Brand,Nhóm 3 - Lâu năm,Đang làm việc,39,"[""cosmetics"",""medicines"",""others""]",Phường Khương Trung,Quận Thanh Xuân,Hà Nội
1172070439,2,2,1.0,putPackages2Bag → assignBagWithIdentifyBag,5fdcc5e2-c068-4b19-abc3-45830a6e4c25,Standard (C2C),Đang làm việc,55,"[""cosmetics""]",Xã A Roàng,Huyện A Lưới,Thành phố Huế,Standard (C2C),Nhóm 3 - Lâu năm,Đang làm việc,55,"[""cosmetics""]",Xã A Roàng,Huyện A Lưới,Thành phố Huế
1173339915,3,2,0.6666666666666666,distributorCfmDeliver → verifySessionPackage → verifySessionPackage,62b42794-4e90-47d7-a0dd-448a0a6e4d74,Pro (B2C),Đang làm việc,36,"[""fashion_new""]",Phường Định Công,Quận Hoàng Mai,Hà Nội,Pro (B2C),Nhóm 2 - Trung bình,Đang làm việc,36,"[""fashion_new""]",Phường Định Công,Quận Hoàng Mai,Hà Nội
1487242268,3,2,0.6666666666666666,updateDeliverWorkshiftByCod → updateDeliverWorkshiftByCod → distributorCfmDeliver,67c5550a-a320-4b22-af7f-499d0a6e4d74,Pro (B2C),Đang làm việc,3,,Xã Văn Xá,Huyện Kim Bảng,Hà Nam,Pro (B2C),Nhóm 1 - Mới,Đang làm việc,3,,Xã Văn Xá,Huyện Kim Bảng,Hà Nam
1488877025,2,2,1.0,privateNotePackage → distributorCfmDeliver,6555eb1e-6310-4692-86df-4fe60a6e4c3d,Pro (B2C),Đang làm việc,19,,Phường Cát Lái,Quận 2,TP Hồ Chí Minh,Pro (B2C),Nhóm 2 - Trung bình,Đang làm việc,19,,Phường Cát Lái,Quận 2,TP Hồ Chí Minh
1489370247,2,2,1.0,updateDeliverWorkshiftByCod → distributorCfmDeliver,663a330d-3ee4-4c2e-a559-482b0a6e4cd4,Pro (B2C),Đang làm việc,13,,Phường An Phú Đông,Quận 12,TP Hồ Chí Minh,Pro (B2C),Nhóm 2 - Trung bình,Đang làm việc,13,,Phường An Phú Đông,Quận 12,TP Hồ Chí Minh
1429760034,4,2,0.5,verifySessionPackage → distributorCfmDeliver → distributorCfmDeliver → distributorCfmDeliver,5f745c3b-c10c-41a9-be49-4ec60a6e4cd1,Pro (B2C),Đang làm việc,57,,Xã Cư Bao,Thị xã Buôn Hồ,Đắk Lắk,Pro (B2C),Nhóm 3 - Lâu năm,Đang làm việc,57,,Xã Cư Bao,Thị xã Buôn Hồ,Đắk Lắk
1430517900,2,2,1.0,verifySessionPackage → updateDeliverWorkshiftByCod,64edab1a-8e20-4d30-8235-4b420a6e4c39,Pro (B2C),Đang làm việc,22,,Phường Tây Mỗ,Quận Từ Liêm,Hà Nội,Pro (B2C),Nhóm 2 - Trung bình,Đang làm việc,22,,Phường Tây Mỗ,Quận Từ Liêm,Hà Nội
1431332089,2,2,1.0,takeDeliveringPackages → distributorCfmDeliver,55d69689-e324-4c5e-a7a8-fa29d2d36175,Standard (C2C),Đang làm việc,119,"[""fashion_new""]",Phường 17,Quận Gò Vấp,TP Hồ Chí Minh,Standard (C2C),Nhóm 3 - Lâu năm,Đang làm việc,119,"[""fashion_new""]",Phường 17,Quận Gò Vấp,TP Hồ Chí Minh
1433896552,2,2,1.0,verifySessionPackage → distributorCfmDeliver,a2079f68-c432-45aa-9d45-a677abad9567,Pro (B2C),Đang làm việc,10,,Phường 9,Quận Tân Bình,TP Hồ Chí Minh,Pro (B2C),Nhóm 1 - Mới,Đang làm việc,10,,Phường 9,Quận Tân Bình,TP Hồ Chí Minh
1189415797,4,2,0.5,updateDeliverWorkshiftByCod → distributorCfmDeliver → distributorCfmDeliver → distributorCfmDeliver,62616130-e72f-46ee-b73c-395bd82fbcfa,Pro (B2C),Đang làm việc,14,,Xã Phú Thành,Huyện Yên Thành,Nghệ An,Pro (B2C),Nhóm 2 - Trung bình,Đang làm việc,14,,Xã Phú Thành,Huyện Yên Thành,Nghệ An
1190016340,2,2,1.0,cfmImpPkgFrPONew → smartScaleScanningPackage,d9508ad8-9360-4c72-8df8-29fcde4f0e69,Pro (B2C),Đang làm việc,20,"[""baby_mom"",""others""]",Phường Thạch Bàn,Quận Long Biên,Hà Nội,Pro (B2C),Nhóm 2 - Trung bình,Đang làm việc,20,"[""baby_mom"",""others""]",Phường Thạch Bàn,Quận Long Biên,Hà Nội
1480680499,2,2,1.0,distributorCfmDeliver → takeDeliveringPackages,6552cb0c-20c8-49b8-ad09-425e0a6e4d78,Pro (B2C),Đang làm việc,19,,Phường Hiệp Bình Phước,Thành phố Thủ Đức,TP Hồ Chí Minh,Pro (B2C),Nhóm 2 - Trung bình,Đang làm việc,19,,Phường Hiệp Bình Phước,Thành phố Thủ Đức,TP Hồ Chí Minh
