sequence,count,length
putPackages2Bag -> assignBagWithIdentifyBag -> PickupBill -> updatePickedByCod -> PickupCrossProvinceBill -> confirmTmpPickedPackageStatus,53,6
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking,52,9
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> verifySessionPackage,52,8
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus,51,7
PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod,51,3
changePackageStatus -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus,51,4
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> verifySessionPackage,49,6
assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupCrossProvinceBill -> PickupBill,48,7
smartScaleScanningPackage -> putPackages2Bag -> putInBox -> scanBox -> confirmExportBox -> TransferToBothBill,47,6
confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod,46,3
assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill -> PickupCrossProvinceBill,45,7
PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus,45,3
changePackageStatus -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod,45,4
verifySessionPackage -> smartScaleScanningPackage -> importStationByDistributer -> distributorCfmReturning,44,4
verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage,43,4
assignCodPicking -> assignCodPicking -> assignCodPicking -> verifySessionPackage,42,4
assignCodPicking -> assignCodPicking -> putPackages2Bag -> putInBox,41,4
assignCodPicking -> ArrivePickingPoint -> ArrivePickingPoint -> assignCodPicking -> assignCodPicking,41,5
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus,41,7
changePackageStatus -> PickupBill -> confirmTmpPickedPackageStatus -> cfmTransit -> TransferToBothBill,40,5
assignCodPicking -> verifySessionPackage -> verifySessionPackage,40,3
privateNotePackage -> putPackages2Bag -> assignBagWithIdentifyBag,40,3
assignCodPicking -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupCrossProvinceBill -> PickupBill,40,5
