sequence,count,length
PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> changePackageStatus -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> changePackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> assignCodPicking -> changePackageStatus -> assignCodPicking -> changeCodForPackagesInCart -> changeCodForPackagesInCart -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changeCodForPackagesInCart -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus,1,55
changePackageStatus -> assignCodPicking -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> assignCodPicking -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod,1,24
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> assignCodPicking -> changePackageStatus -> assignCodPicking -> changeCodForPackagesInCart -> changeCodForPackagesInCart -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill,1,20
assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changePackageStatus -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> changePackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> verifySessionBags -> TakeAPhotoReturnRequest -> importStationByDistributer -> distributorCfmReturning -> updateReturnedByCod -> ReturnBill -> confirmTmpReturnedPackageStatus,1,19
verifySessionPackage -> smartScaleScanningPackage -> importStationByDistributer -> distributorCfmReturning -> updateTmpReturningStatus -> confirmTmpReturnedPackageStatus -> ReturnBill,1,7
smartScaleScanningPackage -> putPackages2Bag -> putInBox -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupCrossProvinceBill -> PickupBill -> scanBox -> confirmExportBox -> TransferToBothBill,1,10
changeCodForPackagesInCart -> changePackageStatus -> changePackageStatus -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> changeCodForPackagesInCart -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> changeCodForPackagesInCart -> changePackageStatus,1,30
changePackageStatus -> changeCodForPackagesInCart -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> verifySessionBags -> TakeAPhotoReturnRequest -> importStationByDistributer -> distributorCfmReturning -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,1,16
verifySessionPackage -> verifySessionPackage -> changeComingReturnCodAction -> changeComingReturnCod -> smartScaleScanningPackage -> distributorCfmReturning -> importStationByDistributer -> updateReturnedByCod -> ReturnBill -> confirmTmpReturnedPackageStatus,1,10
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> ArrivePickingPoint -> ArrivePickingPoint -> updateTmpPickingStatus -> delayPickPackageReason -> autoReassignDateDeliver -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking,1,18
ImportPkgCheckIn -> ImportPkgCheckIn -> updateDelayDeliveringByCod -> confirmTmpDeliveredPackageStatus -> RefundBill -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage,1,8
changePackageStatus -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> changeCodForPackagesInCart -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> changeCodForPackagesInCart -> changePackageStatus -> smartScaleScanningPackage -> cfmTransit -> TransferToBothBill,1,32
changeCodForPackagesInCart -> changePackageStatus -> changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> changeCodForPackagesInCart -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus -> distributorCfmDeliver,1,31
changePackageStatus -> changeCodForPackagesInCart -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> TakeAPhotoReturnRequest -> distributorCfmReturning -> importStationByDistributer,1,12
changePackageStatus -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> assignCodPicking -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> changeCodForPackagesInCart -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill,1,24
assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupCrossProvinceBill -> PickupBill -> distributorCfmReturning -> importStationByDistributer -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,1,12
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> assignCodPicking -> changePackageStatus -> assignCodPicking -> changeCodForPackagesInCart -> changeCodForPackagesInCart -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> changeCodForPackagesInCart -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,1,33
updateDelayDeliveringByCod -> confirmTmpDeliveredPackageStatus -> RefundBill -> distributorCfmDeliver -> updateDelayDeliveringByCod -> RefundBill -> confirmTmpDeliveredPackageStatus,1,7
privateNotePackage -> updateDeliverWorkshiftByCod -> distributorCfmDeliver -> distributorCfmDeliver -> privateNotePackage -> confirmTmpDeliveredPackageStatus -> RefundBill -> updateDelayDeliveringByCod -> editPackage -> updateDeliverCod,1,10
putPackages2Bag -> smartScaleScanningPackage -> putInBox -> PickupCrossProvinceBill -> PickupBill -> updatePickedByCod -> confirmTmpPickedPackageStatus,1,7
ImportPkgCheckIn -> updateDelayDeliveringByCod -> RefundBill -> confirmTmpDeliveredPackageStatus -> ScanPackageToBag,1,5
smartScaleScanningPackage -> smartScaleScanningPackage -> putPackages2Bag -> putInBox -> PickupBill -> PickupCrossProvinceBill -> confirmTmpPickedPackageStatus -> updatePickedByCod -> scanBox -> confirmExportBox -> TransferToBothBill,1,11
changePackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changePackageStatus -> confirmTmpPickedPackageStatus -> PickupBill -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> changePackageStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill,1,26
assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> updatePickedByCod -> PickupBill -> confirmTmpPickedPackageStatus -> PickupCrossProvinceBill -> importStationByDistributer -> distributorCfmReturning,1,9
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> assignCodPicking -> changePackageStatus -> assignCodPicking -> changeCodForPackagesInCart -> changeCodForPackagesInCart -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> changeCodForPackagesInCart -> changePackageStatus -> ArrivePickingPoint -> ArrivePickingPoint -> ArrivePickingPoint -> delayPickPackageReason -> autoReassignDateDeliver -> updateTmpPickingStatus -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> cfmTransit -> TransferToBothBill -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,1,50
changePackageStatus -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> assignCodPicking -> changeCodForPackagesInCart -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill,1,24
ImportPkgCheckIn -> ImportPkgCheckIn -> ImportPkgCheckIn -> ImportPkgCheckIn -> updateDelayDeliveringByCod -> confirmTmpDeliveredPackageStatus -> RefundBill,1,7
changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> assignCodPicking -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> assignCodPicking -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> assignCodPicking -> changeCodForPackagesInCart -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changeCodForPackagesInCart -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> changeCodForPackagesInCart -> changePackageStatus -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> changePackageStatus -> changeCodForPackagesInCart -> changeCodForPackagesInCart -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> changeCodForPackagesInCart -> changePackageStatus -> changeCodForPackagesInCart -> changeCodForPackagesInCart -> ArrivePickingPoint -> ArrivePickingPoint -> ArrivePickingPoint -> delayPickPackageReason -> updateTmpPickingStatus -> autoReassignDateDeliver -> changeCodForPackagesInCart -> changePackageStatus -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,1,61
changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus,1,19
assignCodPicking -> assignCodPicking -> assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> PickupCrossProvinceBill -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupBill -> importStationByDistributer -> distributorCfmReturning -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,1,14
changePackageStatus -> confirmTmpPickedPackageStatus -> PickupBill -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> changePackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill,1,21
assignCodPicking -> assignCodPicking -> smartScaleScanningPackage -> putPackages2Bag -> smartScaleScanningPackage -> putInBox,1,6
distributorCfmDeliver -> RefundBill -> confirmTmpDeliveredPackageStatus -> updateDelayDeliveringByCod -> privateNotePackage -> updateDeliverWorkshiftByCod -> distributorCfmDeliver,1,7
assignCodPicking -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> assignCodPicking -> assignCodPicking -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupCrossProvinceBill,1,12
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage,1,11
assignCodPicking -> assignCodPicking -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> assignCodPicking -> assignCodPicking -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill,1,40
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> assignCodPicking -> changePackageStatus -> assignCodPicking -> changeCodForPackagesInCart -> changeCodForPackagesInCart -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> verifySessionBags -> TakeAPhotoReturnRequest -> importStationByDistributer -> distributorCfmReturning -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,1,27
assignCodPicking -> assignCodPicking -> assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill -> PickupCrossProvinceBill -> distributorCfmReturning -> importStationByDistributer -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,1,14
assignCodPicking -> smartScaleScanningPackage -> PickupBill -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupCrossProvinceBill -> putPackages2Bag -> putInBox,1,8
ImportPkgCheckIn -> updateDelayDeliveringByCod -> RefundBill -> confirmTmpDeliveredPackageStatus -> verifySessionPackage -> ScanPackageToBag,1,6
changePackageStatus -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> assignCodPicking -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill,1,26
assignCodPicking -> smartScaleScanningPackage -> PickupBill -> confirmTmpPickedPackageStatus -> updatePickedByCod -> verifySessionPackage -> smartScaleScanningPackage -> distributorCfmReturning -> importStationByDistributer,1,9
assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> assignCodPicking -> assignCodPicking,1,10
confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus,1,7
changePackageStatus -> confirmTmpPickedPackageStatus -> PickupBill -> confirmTmpReturnedPackageStatus -> ReturnBill -> updateReturnedByCod,1,6
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> changePackageStatus -> assignCodPicking -> changeCodForPackagesInCart -> changeCodForPackagesInCart -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod,1,28
changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod,1,19
updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> changePackageStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> changeCodForPackagesInCart -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changeCodForPackagesInCart -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> changeCodForPackagesInCart -> changePackageStatus -> verifySessionBags -> TakeAPhotoReturnRequest -> importStationByDistributer -> distributorCfmReturning,1,37
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> assignCodPicking -> changePackageStatus -> assignCodPicking -> changeCodForPackagesInCart -> changeCodForPackagesInCart -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> changeCodForPackagesInCart -> changePackageStatus,1,30
assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changePackageStatus -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> changePackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,1,15
assignCodPicking -> assignCodPicking -> assignCodPicking -> putPackages2Bag -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,1,7
verifySessionPackage -> verifySessionPackage -> printfPackage -> printfPackage -> printfPackage -> printfPackage -> printfPackage -> printfPackage -> printfPackage -> printfPackage -> printfPackage -> printfPackage -> putPackages2Bag -> putInBox,1,14
assignCodPicking -> ScanPackageToBag -> ImportPkgCheckIn -> RefundBill -> updateDelayDeliveringByCod -> confirmTmpDeliveredPackageStatus -> verifySessionPackage -> confirmTmpReturnedPackageStatus -> ReturnBill -> updateReturnedByCod,1,10
verifySessionPackage -> changeComingReturnCodAction -> changeComingReturnCod -> smartScaleScanningPackage -> importStationByDistributer -> distributorCfmReturning -> confirmTmpReturnedPackageStatus -> ReturnBill -> updateReturnedByCod,1,9
verifySessionPackage -> verifySessionPackage -> putPackages2TmpBag -> putPackages2Bag -> smartScaleScanningPackage -> changeTrfSorting -> takeOutPackages2Bag,1,7
distributorCfmDeliver -> editPackage -> updateDeliverCod -> updateDeliverWorkshiftByCod -> checkPackageBBS -> privateNotePackage -> printfPackage -> cfmTransit -> TransferToBothBill,1,9
PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> updatePickedByCod -> PickupCrossProvinceBill -> PickupBill -> confirmTmpPickedPackageStatus,1,11
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> verifySessionPackage -> smartScaleScanningPackage -> putPackages2TmpBag -> putPackages2Bag -> changeTrfSorting,1,12
assignCodPicking -> assignCodPicking -> assignCodPicking -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> smartScaleScanningPackage -> distributorCfmReturning -> importStationByDistributer -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,1,26
Prepayment_qrBill -> cfmDonePrepaymnet -> cfmImpPkgFrPONew,1,3
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> ArrivePickingPoint -> ArrivePickingPoint -> autoReassignDateDeliver -> delayPickPackageReason -> updateTmpPickingStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> ArrivePickingPoint -> ArrivePickingPoint -> ArrivePickingPoint -> autoReassignDateDeliver -> delayPickPackageReason -> updateTmpPickingStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> assignCodPicking -> ArrivePickingPoint -> delayPickPackageReason -> updateTmpPickingStatus -> autoReassignDateDeliver -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking,1,67
changeCodForPackagesInCart -> changePackageStatus -> changePackageStatus -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> changeCodForPackagesInCart -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> changeCodForPackagesInCart -> changePackageStatus,1,30
distributorCfmDeliver -> distributorCfmDeliver -> DteamTakeAPhotoDeliver -> TakeAPhotoDeliveryPhotos -> ArriveDeliveringPoint -> ArriveDeliveringPoint -> updateTmpDeliveringStatus -> confirmTmpDeliveredPackageStatus -> RefundBill,1,9
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> cfmImpPkgFrPONew -> PkBusCheckinPackage -> smartScaleScanningPackage -> ScanPackageToBag,1,8
changePackageStatus -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> assignCodPicking -> changeCodForPackagesInCart -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus -> cfmTransit -> TransferToBothBill,1,28
assignCodPicking -> PickupCrossProvinceBill -> PickupBill -> updatePickedByCod -> confirmTmpPickedPackageStatus -> putPackages2Bag -> putInBox,1,7
changePackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> ReturnBill -> updateReturnedByCod -> confirmTmpReturnedPackageStatus,1,7
