action_sequence_str,count
privateNotePackage → updateDeliverWorkShiftPackage → privateNotePackage,2
verifySessionPackage → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage,2
distributorCfmDeliver → NVBCConfirmImageWorkshift → RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → distributorCfmDeliver → NVBCConfirmImageWorkshift → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → saveIsfrageImages → updateDeliverWorkshiftByCod → distributorCfmDeliver,1
verifySessionPackage → verifySessionPackage → verifySessionPackage → distributorCfmDeliver → verifySessionPackage → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → putPackages2Bag → assignBagWithIdentifyBag,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → RefundBill → updateNotDeliveredByCod → confirmTmpDeliveredPackageStatus → verifySessionPackage,1
verifySessionPackage → updateDeliverWorkshiftByCod → verifySessionPackage → smartScaleScanningPackage → requestHandOverPackages → requestHandOverPackages → requestHandOverPackages → distributorCfmDeliver,1
privateNotePackage → saveSealForSpecialPackage → saveIsfrageImages → saveSealForSpecialPackage → saveIsfrageImages → putPackages2Bag → smartScaleScanningPackage → putInBox,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
confirmTmpDeliveredPackageStatus → RefundBill → verifySessionPackage → verifySessionPackage,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → updateDeliverWorkshiftByCod → distributorCfmDeliver → privateNotePackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → privateNotePackage → updateDeliverWorkshiftByCod → distributorCfmDeliver,1
changeAttributeForSurplus → privateNotePackage → distributorCfmDeliver → distributorCfmDeliver,1
confirmTmpDeliveredPackageStatus → RefundBill → updateDelayDeliveringByCod,1
privateNotePackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → privateNotePackage → privateNotePackage → privateNotePackage → printfPackage,1
distributorCfmDeliver → RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → RefundBill → verifySessionPackage,1
distributorCfmDeliver → verifySessionPackage → distributorCfmDeliver → verifySessionPackage → verifySessionPackage,1
verifySessionPackage → confirmIssueHandovers → feedbackReDelivery → feedbackReDelivery → distributorCfmDeliver → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
assignCodPicking → updatePickedByCod → PickupBill → confirmTmpPickedPackageStatus → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
assignCodPicking → PickupBill → updatePickedByCod → confirmTmpPickedPackageStatus,1
smartScaleScanningPackage → verifySessionPackage,1
updateDeliverWorkshiftByCod → printfPackage → changeAttributeForSurplus → privateNotePackage → distributorCfmDeliver,1
distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → RefundBill → updateDelayDeliveringByCod → distributorCfmDeliver,1
distributorCfmDeliver → privateNotePackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
privateNotePackage → privateNotePackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → privateNotePackage → putPackages2Bag → assignBagWithIdentifyBag,1
distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → verifySessionPackage → distributorCfmDeliver,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → ChangeDeliverCodByConfirmDeliveringByOperator → updateDelayDeliveringByCod → RefundBill,1
distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → distributorCfmDeliver → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus → distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateNotDeliveredByCod,1
verifySessionPackage → distributorCfmDeliver → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
cfmDonePrepaymnet → Prepayment_qrBill,1
cfmImpPkgFrPONew → smartScaleScanningPackage,1
distributorCfmDeliver → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill,1
updateDeliverWorkshiftByCod → printfPackage → privateNotePackage → changeAttributeForSurplus → distributorCfmDeliver,1
assignCodPicking → confirmTmpPickedPackageStatus → PickupBill → PickupCrossProvinceBill → updatePickedByCod,1
TakeAPhotoWeightChange → TakeAPhotoWeightChange,1
distributorCfmDeliver → ArriveDeliveringPoint → updateTmpDeliveringStatus → delayDeliverPackageReason → confirmTmpDeliveredPackageStatus → RefundBill,1
distributorCfmDeliver → updateDeliverWorkshiftByCod → printfPackage → updateDeliverWorkshiftByCod → printfPackage → privateNotePackage → distributorCfmDeliver → distributorCfmDeliver,1
RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → updateDelayDeliveringByCod → RefundBill → updateNotDeliveredByCod → confirmTmpDeliveredPackageStatus,1
privateNotePackage → updateDeliverWorkshiftByCod → updateDeliverWorkShiftPackage → privateNotePackage → privateNotePackage → privateNotePackage → updateDeliverWorkshiftByCod → privateNotePackage,1
verifySessionPackage → printfPackage,1
distributorCfmDeliver → distributorCfmDeliver → distributorCfmDeliver → verifySessionPackage → printfPackage,1
verifySessionPackage → smartScaleScanningPackage → distributorCfmReturning → importStationByDistributer → ReturnBill → confirmTmpReturnedPackageStatus → updateReturnedByCod,1
distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → distributorCfmDeliver,1
confirmTmpReturnedPackageStatus → updateReturnedByCod → ReturnBill,1
assignCodPicking → updatePickedByCod → PickupCrossProvinceBill → PickupBill → confirmTmpPickedPackageStatus → putPackages2Bag → putPackages2Bag → putPackages2Bag → putPackages2Bag → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → updateDelayDeliveringByCod → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateNotDeliveredByCod → RefundBill → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
privateNotePackage → feedbackCancelPackage → changePackageStatus → feedbackCancelPackage → changePackageStatus,1
distributorCfmDeliver → distributorCfmDeliver → printfPackage → updateDeliverWorkshiftByCod → privateNotePackage → distributorCfmDeliver → verifySessionPackage,1
verifySessionPackage → updateDeliverWorkshiftByCod → verifySessionPackage,1
verifySessionPackage → confirmIssueHandovers → feedbackReDelivery → feedbackReDelivery → distributorCfmDeliver → verifySessionPackage → verifySessionPackage,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
takeDeliveringPackages → distributorCfmDeliver → distributorCfmDeliver,1
privateNotePackage → privateNotePackage → privateNotePackage → smartScaleScanningPackage → putPackages2Bag → assignBagWithIdentifyBag,1
distributorCfmDeliver → verifySessionPackage → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage → privateNotePackage,1
updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → ChangeDeliverCodByConfirmDeliveringByOperator,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → distributorCfmDeliver,1
distributorCfmDeliver → updateNotDeliveredByCod → confirmTmpDeliveredPackageStatus → RefundBill → privateNotePackage,1
NVBCTakeAPhotoDelivery → checkPackageSealScanned → checkPackageSealScanned → saveIsfrageImages → distributorCfmDeliver,1
saveIsfrageImages → updateDeliverWorkshiftByCod → distributorCfmDeliver,1
distributorCfmDeliver → verifySessionPackage → verifySessionPackage → printfPackage,1
distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → RefundBill → updateNotDeliveredByCod → confirmTmpDeliveredPackageStatus,1
distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → updateNotDeliveredByCod → RefundBill → confirmTmpDeliveredPackageStatus → verifySessionPackage → verifySessionPackage → putPackages2Bag → assignBagWithIdentifyBag,1
distributorCfmDeliver → distributorCfmDeliver → saveIsfrageImages → distributorCfmDeliver → updateNotDeliveredByCod → confirmTmpDeliveredPackageStatus → RefundBill,1
verifySessionPackage → updateDeliverWorkshiftByCod → verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver,1
distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus,1
verifySessionPackage → distributorCfmDeliver → distributorCfmDeliver → verifySessionPackage,1
privateNotePackage → updateDeliverWorkShiftPackage → distributorCfmDeliver,1
distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → updateNotDeliveredByCod → RefundBill → confirmTmpDeliveredPackageStatus → verifySessionPackage → putPackages2Bag → assignBagWithIdentifyBag,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → updateNotDeliveredByCod → confirmTmpDeliveredPackageStatus → RefundBill → verifySessionPackage,1
verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver,1
RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → privateNotePackage → updateDeliverWorkshiftByCod → printfPackage → verifySessionPackage → saveIsfrageImages → distributorCfmDeliver,1
distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → RefundBill → updateDelayDeliveringByCod → distributorCfmDeliver → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus,1
verifySessionPackage → verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → smartScaleScanningPackage → distributorCfmDeliver → verifySessionPackage → distributorCfmDeliver → verifySessionPackage → updateTmpDeliveringStatus → verifySessionPackage → updateNotDeliveredByCod → RefundBill → confirmTmpDeliveredPackageStatus → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
verifySessionPackage → verifySessionPackage → verifySessionPackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
printfPackage → privateNotePackage → changeAttributeForSurplus → distributorCfmDeliver,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateNotDeliveredByCod,1
verifySessionPackage → distributorCfmDeliver → RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → verifySessionPackage → saveIsfrageImages → distributorCfmDeliver,1
smartScaleScanningPackage → smartScaleScanningPackage → ChangePackageSize → ManualInput,1
updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → RefundBill → confirmTmpDeliveredPackageStatus → updateNotDeliveredByCod,1
NVBCConfirmImageWorkshift → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus → distributorCfmDeliver,1
updateDeliverWorkshiftByCod → printfPackage → privateNotePackage → changeAttributeForSurplus → distributorCfmDeliver → verifySessionPackage,1
distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → updateNotDeliveredByCod → confirmTmpDeliveredPackageStatus → RefundBill → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
verifySessionPackage → NVBCTakeAPhotoDelivery → distributorCfmDeliver → updateDeliverWorkshiftByCod,1
assignCodPicking → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag → confirmTmpPickedPackageStatus → PickupBill → updatePickedByCod,1
verifySessionPackage → distributorCfmDeliver → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → privateNotePackage → verifySessionPackage,1
distributorCfmDeliver → distributorCfmDeliver → distributorCfmDeliver → verifySessionPackage,1
distributorCfmDeliver → takeDeliveringPackages → distributorCfmDeliver → verifySessionPackage → verifySessionPackage,1
verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
distributorCfmDeliver → privateNotePackage → privateNotePackage,1
NVBCConfirmImageWorkshift → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver,1
confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → privateNotePackage,1
verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → verifySessionPackage → distributorCfmDeliver → privateNotePackage → distributorCfmDeliver,1
verifySessionPackage → verifySessionPackage → changeDelieverCartId → changeCustomerFirstAddress → editPackage → updateShipMoney → changeCustomerLastAddress → putPackages2Bag → assignBagWithIdentifyBag,1
distributorCfmDeliver → privateNotePackage → putPackages2Bag → assignBagWithIdentifyBag,1
confirmTmpReturnedPackageStatus → ReturnBill → updateReturnedByCod,1
