count,from_action,to_action
42,PickupBill,TakeAPhotoReturnRequest
41,saveIsfrageImages,verifySessionPackage
41,confirmTmpDeliveredPackageStatus,verifySessionPackage
41,updateTmpPickingStatus,PickupBill
41,putInBox,confirmTmpPickedPackageStatus
41,putInBox,PickupBill
40,takeReturningPackages,confirmTmpReturnedPackageStatus
40,delayPickPackageReason,confirmTmpPickedPackageStatus
40,privateNotePackage,updateDeliverWorkShiftPackage
40,DteamTakeAPhotoDeliver,ArriveDeliveringPoint
39,putInBox,confirmTmpReturnedPackageStatus
39,confirmTmpPickedPackageStatus,confirmTmpReturnedPackageStatus
38,putInBox,ReturnBill
37,updateTmpPickingStatus,confirmTmpPickedPackageStatus
37,verifySessionPackage,printfPackage
37,autoReassignDateDeliver,confirmTmpPickedPackageStatus
36,updateDelayPickingByCod,confirmTmpReturnedPackageStatus
36,assignCodPicking,verifySessionBags
36,PickupCrossProvinceBill,updateReturnedByCod
36,putInBox,updateReturnedByCod
36,assignBagWithIdentifyBag,distributorCfmReturning
36,ArriveDeliveringPoint,ArriveDeliveringPoint
36,verifySessionPackage,distributorCfmReturning
35,updateNotDeliveredByCod,confirmTmpDeliveredPackageStatus
35,updateDelayDeliveringByCod,distributorCfmDeliver
35,delayPickPackageReason,PickupBill
34,updateTmpReturningStatus,updateTmpReturningStatus
33,saveIsfrageImages,smartScaleScanningPackage
33,changePackageStatus,confirmTmpReturnedPackageStatus
33,autoReassignDateDeliver,updateDelayPickingByCod
32,privateNotePackage,editPackage
32,updateDeliverWorkshiftByCod,updateDeliverWorkshiftByCod
32,distributorCfmDeliver,cfmTransit
32,smartScaleScanningPackage,verifySessionPackage
31,updateReinforcedPackages,printfPackage
30,assignCodPicking,TransferToBothBill
30,ReturnBill,importStationByDistributer
30,PickupBill,verifySessionPackage
29,feedbackCancelPackage,changePackageStatus
29,updateDelayPickingByCod,updateReturnedByCod
29,updatePickedByCod,verifySessionPackage
29,updateTmpReturningStatus,ReturnBill
29,confirmTmpDeliveredPackageStatus,privateNotePackage
28,confirmTmpDeliveredPackageStatus,distributorCfmDeliver
28,saveSealForSpecialPackage,cfmImpPkgFrPONew
28,takeReturningPackages,updateReturnedByCod
28,updatePickWorkShiftPackage,assignCodPicking
27,smartScaleScanningPackage,PickupBill
27,RefundBill,ScanPackageToBag
27,changePackageStatus,updateReturnedByCod
27,confirmTmpPickedPackageStatus,importStationByDistributer
27,distributorCfmDeliver,putPackages2Bag
27,putPackages2Bag,takeOutPackages2Bag
27,printfPackage,smartScaleScanningPackage
26,PickupCrossProvinceBill,TransferToBothBill
