pkg_order,action,username,length
1475802191,verifySessionPackage -> distributorCfmDeliver -> updateDeliverCod -> editPackage -> TakeAPhotoDeliveryPhotos -> DteamTakeAPhotoDeliver -> ArriveDeliveringPoint -> ArriveDeliveringPoint -> updateTmpDeliveringStatus -> confirmTmpDeliveredPackageStatus -> RefundBill,quanvc5,11
1054736924,verifySessionPackage -> distributorCfmDeliver -> updateDeliverCod -> editPackage,quanvc5,4
1479161542,verifySessionPackage -> distributorCfmDeliver -> updateDeliverCod -> editPackage,quanvc5,4
1143550229,verifySessionPackage -> distributorCfmDeliver -> updateDeliverCod -> editPackage,quanvc5,4
1399471917,verifySessionPackage -> distributorCfmDeliver -> updateDelayDeliveringByCod -> confirmTmpDeliveredPackageStatus -> RefundBill,quanvc5,5
1968550305,verifySessionPackage -> distributorCfmDeliver -> updateDelayDeliveringByCod -> confirmTmpDeliveredPackageStatus -> RefundBill,quanvc5,5
1340386335,verifySessionPackage -> distributorCfmDeliver -> updateDelayDeliveringByCod -> RefundBill -> confirmTmpDeliveredPackageStatus -> cfmTransit -> TransferToBothBill,quanvc5,7
1841978381,verifySessionPackage -> distributorCfmDeliver -> updateDelayDeliveringByCod -> RefundBill -> confirmTmpDeliveredPackageStatus,quanvc5,5
1797041954,verifySessionPackage -> distributorCfmDeliver -> privateNotePackage -> updateDeliverCod -> editPackage -> distributorCfmDeliver -> updateDeliverCod -> editPackage -> privateNotePackage,quanvc5,9
1144788479,verifySessionPackage -> distributorCfmDeliver -> privateNotePackage -> updateDeliverCod -> editPackage,quanvc5,5
1186796504,verifySessionPackage -> distributorCfmDeliver -> privateNotePackage -> cfmTransit -> TransferToBothBill,quanvc5,5
1200062552,verifySessionPackage -> distributorCfmDeliver -> privateNotePackage -> cfmTransit -> TransferToBothBill,quanvc5,5
1033357367,verifySessionPackage -> distributorCfmDeliver -> privateNotePackage -> cfmTransit -> TransferToBothBill,quanvc5,5
1274916894,verifySessionPackage -> distributorCfmDeliver -> privateNotePackage -> cfmTransit -> TransferToBothBill,quanvc5,5
1176213771,verifySessionPackage -> distributorCfmDeliver -> privateNotePackage -> cfmTransit -> TransferToBothBill,quanvc5,5
1722217229,verifySessionPackage -> distributorCfmDeliver -> privateNotePackage -> cfmTransit,quanvc5,4
1700993804,verifySessionPackage -> distributorCfmDeliver -> privateNotePackage,quanvc5,3
1236990358,verifySessionPackage -> distributorCfmDeliver -> privateNotePackage,quanvc5,3
1253298840,verifySessionPackage -> distributorCfmDeliver -> privateNotePackage,quanvc5,3
1732077746,verifySessionPackage -> distributorCfmDeliver -> privateNotePackage,quanvc5,3
1759173971,verifySessionPackage -> distributorCfmDeliver -> privateNotePackage,quanvc5,3
1852347200,verifySessionPackage -> distributorCfmDeliver -> privateNotePackage,quanvc5,3
1631321775,verifySessionPackage -> distributorCfmDeliver -> privateNotePackage,quanvc5,3
1376247146,verifySessionPackage -> distributorCfmDeliver -> privateNotePackage,quanvc5,3
1401189437,verifySessionPackage -> distributorCfmDeliver -> privateNotePackage,quanvc5,3
1884846337,verifySessionPackage -> distributorCfmDeliver -> privateNotePackage,quanvc5,3
1480883029,verifySessionPackage -> distributorCfmDeliver -> privateNotePackage,quanvc5,3
1383036966,verifySessionPackage -> distributorCfmDeliver -> privateNotePackage,quanvc5,3
1402285424,verifySessionPackage -> distributorCfmDeliver -> distributorCfmDeliver -> updateNotDeliveredByCod -> confirmTmpDeliveredPackageStatus -> RefundBill -> cfmTransit -> TransferToBothBill,quanvc5,8
1742859383,verifySessionPackage -> distributorCfmDeliver -> distributorCfmDeliver -> updateDeliverCod -> editPackage -> RefundBill -> updateDelayDeliveringByCod -> confirmTmpDeliveredPackageStatus -> privateNotePackage -> updateDelayDeliveringByCod -> confirmTmpDeliveredPackageStatus -> RefundBill,quanvc5,12
1350612623,verifySessionPackage -> distributorCfmDeliver -> distributorCfmDeliver -> updateDeliverCod -> editPackage -> RefundBill -> confirmTmpDeliveredPackageStatus -> updateDelayDeliveringByCod -> updateDeliverWorkshiftByCod -> distributorCfmDeliver,quanvc5,10
1859394522,verifySessionPackage -> distributorCfmDeliver -> distributorCfmDeliver -> updateDeliverCod -> editPackage,quanvc5,5
1483285182,verifySessionPackage -> distributorCfmDeliver -> distributorCfmDeliver -> updateDeliverCod -> editPackage,quanvc5,5
1648265771,verifySessionPackage -> distributorCfmDeliver -> distributorCfmDeliver -> privateNotePackage,quanvc5,4
1976516367,verifySessionPackage -> distributorCfmDeliver -> distributorCfmDeliver -> privateNotePackage,quanvc5,4
1436584831,verifySessionPackage -> distributorCfmDeliver -> distributorCfmDeliver -> privateNotePackage,quanvc5,4
1590343637,verifySessionPackage -> distributorCfmDeliver -> distributorCfmDeliver -> editPackage -> updateDeliverCod -> privateNotePackage -> cfmTransit -> TransferToBothBill,quanvc5,8
1084918744,verifySessionPackage -> distributorCfmDeliver -> distributorCfmDeliver -> editPackage -> updateDeliverCod,quanvc5,5
1262068375,verifySessionPackage -> distributorCfmDeliver -> distributorCfmDeliver -> editPackage -> updateDeliverCod,quanvc5,5
1092197123,verifySessionPackage -> distributorCfmDeliver -> distributorCfmDeliver -> editPackage,quanvc5,4
1541300552,verifySessionPackage -> distributorCfmDeliver -> distributorCfmDeliver -> distributorCfmDeliver -> updateDeliverCod -> editPackage,quanvc5,6
1449670029,verifySessionPackage -> distributorCfmDeliver -> distributorCfmDeliver -> distributorCfmDeliver,quanvc5,4
1141550471,verifySessionPackage -> distributorCfmDeliver -> distributorCfmDeliver -> confirmTmpDeliveredPackageStatus -> updateDelayDeliveringByCod -> RefundBill -> privateNotePackage -> cfmTransit -> TransferToBothBill,quanvc5,9
1994466661,verifySessionPackage -> distributorCfmDeliver -> distributorCfmDeliver -> confirmChangeAddress,quanvc5,4
1539419655,verifySessionPackage -> distributorCfmDeliver -> distributorCfmDeliver -> RefundBill -> updateNotDeliveredByCod -> confirmTmpDeliveredPackageStatus -> privateNotePackage,quanvc5,7
1947132781,verifySessionPackage -> distributorCfmDeliver -> distributorCfmDeliver -> BlurredBarcode -> DteamTakeAPhotoDeliver -> ArriveDeliveringPoint -> updateTmpDeliveringStatus -> confirmTmpDeliveredPackageStatus -> RefundBill,quanvc5,9
1435533523,verifySessionPackage -> distributorCfmDeliver -> distributorCfmDeliver,quanvc5,3
1903812977,verifySessionPackage -> distributorCfmDeliver -> distributorCfmDeliver,quanvc5,3
1143320430,verifySessionPackage -> distributorCfmDeliver -> distributorCfmDeliver,quanvc5,3
1151812727,verifySessionPackage -> distributorCfmDeliver -> distributorCfmDeliver,quanvc5,3
1353424746,verifySessionPackage -> distributorCfmDeliver -> distributorCfmDeliver,quanvc5,3
1699589252,verifySessionPackage -> distributorCfmDeliver -> distributorCfmDeliver,quanvc5,3
1670908767,verifySessionPackage -> distributorCfmDeliver -> distributorCfmDeliver,quanvc5,3
1933170832,verifySessionPackage -> distributorCfmDeliver -> distributorCfmDeliver,quanvc5,3
